gvkey,gvkeyx,from,thru,conm,tic,co_tic,co_cusip
001078,000003,19640331,,S&P 500 Comp-Ltd,I0003,ABT,002824100
001300,000003,19640331,,S&P 500 Comp-Ltd,I0003,HON,438516106
001440,000003,19640331,,S&P 500 Comp-Ltd,I0003,AEP,025537101
002285,000003,19640331,,S&P 500 Comp-Ltd,I0003,BA,097023105
002403,000003,19640331,,S&P 500 Comp-Ltd,I0003,BMY,110122108
002663,000003,19640331,,S&P 500 Comp-Ltd,I0003,CPB,134429109
002817,000003,19640331,,S&P 500 Comp-Ltd,I0003,CAT,149123101
002991,000003,19640331,,S&P 500 Comp-Ltd,I0003,CVX,166764100
003144,000003,19640331,,S&P 500 Comp-Ltd,I0003,KO,191216100
003170,000003,19640331,,S&P 500 Comp-Ltd,I0003,CL,194162103
003413,000003,19640331,,S&P 500 Comp-Ltd,I0003,ED,209115104
003532,000003,19640331,,S&P 500 Comp-Ltd,I0003,GLW,219350105
003835,000003,19640331,,S&P 500 Comp-Ltd,I0003,DE,244199105
003897,000003,19640331,,S&P 500 Comp-Ltd,I0003,DTE,233331107
004029,000003,19640331,,S&P 500 Comp-Ltd,I0003,D,25746U109
004060,000003,19640331,,S&P 500 Comp-Ltd,I0003,DWDP,26078J100
004199,000003,19640331,,S&P 500 Comp-Ltd,I0003,ETN,G29183103
004503,000003,19640331,,S&P 500 Comp-Ltd,I0003,XOM,30231G102
004839,000003,19640331,,S&P 500 Comp-Ltd,I0003,F,345370860
005046,000003,19640331,,S&P 500 Comp-Ltd,I0003,GD,369550108
005047,000003,19640331,,S&P 500 Comp-Ltd,I0003,GE,369604103
005439,000003,19640331,,S&P 500 Comp-Ltd,I0003,HAL,406216101
005597,000003,19640331,,S&P 500 Comp-Ltd,I0003,HSY,427866108
006066,000003,19640331,,S&P 500 Comp-Ltd,I0003,IBM,459200101
006104,000003,19640331,,S&P 500 Comp-Ltd,I0003,IP,460146103
006375,000003,19640331,,S&P 500 Comp-Ltd,I0003,K,487836108
006435,000003,19640331,,S&P 500 Comp-Ltd,I0003,KMB,494368103
006502,000003,19640331,,S&P 500 Comp-Ltd,I0003,KR,501044101
007163,000003,19640331,,S&P 500 Comp-Ltd,I0003,SPGI,78409V104
007241,000003,19640331,,S&P 500 Comp-Ltd,I0003,CVS,126650100
007257,000003,19640331,,S&P 500 Comp-Ltd,I0003,MRK,58933Y105
007366,000003,19640331,,S&P 500 Comp-Ltd,I0003,ETR,29364G103
007435,000003,19640331,,S&P 500 Comp-Ltd,I0003,MMM,88579Y101
007585,000003,19640331,,S&P 500 Comp-Ltd,I0003,MSI,620076307
007923,000003,19640331,,S&P 500 Comp-Ltd,I0003,NSC,655844108
007977,000003,19640331,,S&P 500 Comp-Ltd,I0003,XEL,98389B100
008099,000003,19640331,,S&P 500 Comp-Ltd,I0003,FE,337932107
008247,000003,19640331,,S&P 500 Comp-Ltd,I0003,PPG,693506107
008272,000003,19640331,,S&P 500 Comp-Ltd,I0003,SRE,816851109
008479,000003,19640331,,S&P 500 Comp-Ltd,I0003,PEP,713448108
008530,000003,19640331,,S&P 500 Comp-Ltd,I0003,PFE,717081103
008539,000003,19640331,,S&P 500 Comp-Ltd,I0003,EXC,30161N101
008543,000003,19640331,,S&P 500 Comp-Ltd,I0003,MO,02209S103
008549,000003,19640331,,S&P 500 Comp-Ltd,I0003,COP,20825C104
008762,000003,19640331,,S&P 500 Comp-Ltd,I0003,PG,742718109
008810,000003,19640331,,S&P 500 Comp-Ltd,I0003,PEG,744573106
008972,000003,19640331,,S&P 500 Comp-Ltd,I0003,RTN,755111507
009203,000003,19640331,,S&P 500 Comp-Ltd,I0003,ROK,773903109
009846,000003,19640331,,S&P 500 Comp-Ltd,I0003,EIX,281020107
009850,000003,19640331,,S&P 500 Comp-Ltd,I0003,SO,842587107
010499,000003,19640331,,S&P 500 Comp-Ltd,I0003,TXN,882508104
010867,000003,19640331,,S&P 500 Comp-Ltd,I0003,UNP,907818108
010983,000003,19640331,,S&P 500 Comp-Ltd,I0003,UTX,913017109
011456,000003,19640331,,S&P 500 Comp-Ltd,I0003,WY,962166104
011465,000003,19640331,,S&P 500 Comp-Ltd,I0003,WHR,963320106
011636,000003,19640331,,S&P 500 Comp-Ltd,I0003,XRX,984121608
011462,000003,19640331,19850331,S&P 500 Comp-Ltd,I0003,HNH,929248409
001528,000003,19640331,19850430,S&P 500 Comp-Ltd,I0003,ANR.2,028609105
007162,000003,19640331,19850430,S&P 500 Comp-Ltd,I0003,MGR.2,580628105
