caldt,sprtrn
19850102,-0.011182
19850103,-0.004838
19850104,-0.005408
19850107,0.003421
19850108,-0.001522
19850109,0.007257
19850110,0.018949
19850111,-0.002377
19850114,0.015484
19850115,0.001701
19850116,0.002283
19850117,-0.002687
19850118,0.003456
19850121,0.022823
19850122,0.001427
19850123,0.010372
19850124,-0.003328
19850125,0.003622
19850128,0.000226
19850129,0.010091
19850130,0.001172
19850131,0.001338
19850201,-0.005567
19850204,0.009629
19850205,0.001442
19850206,-0.000997
19850207,0.007704
19850208,0.002035
19850211,-0.009221
19850212,0.000277
19850213,0.015452
19850214,-0.005127
19850215,-0.004441
19850219,-0.001487
19850220,-0.000827
19850221,-0.005464
19850222,-0.004606
19850225,-0.000725
19850226,0.010824
19850227,-0.002539
19850228,0.002656
19850301,0.011259
19850304,-0.006385
19850305,0.000934
19850306,-0.008670
19850307,-0.006311
19850308,-0.002284
19850311,-0.001731
19850312,0.004866
19850313,-0.008182
19850314,-0.001964
19850315,-0.007366
19850318,0.001983
19850319,0.015038
19850320,-0.002562
19850321,0.001508
19850322,-0.001728
19850325,-0.005976
19850326,0.002585
19850327,0.006221
19850328,0.000000
19850329,0.006238
19850401,0.003377
19850402,-0.004082
19850403,-0.007866
19850404,-0.000447
19850408,-0.005586
19850409,0.001011
19850410,0.006790
19850411,0.004292
19850412,0.001942
19850415,0.002105
19850416,0.001548
19850417,0.002649
19850418,-0.004624
19850419,0.001493
19850422,-0.002264
19850423,0.006530
19850424,0.002089
19850425,0.006419
19850426,-0.006815
19850429,-0.008508
19850430,-0.004429
19850501,-0.008119
19850502,0.003588
19850503,0.005977
19850506,-0.000500
19850507,0.004278
19850508,-0.000775
19850509,0.007197
19850510,0.012973
19850513,0.001791
19850514,-0.004008
19850515,0.003644
19850516,0.006069
19850517,0.009480
19850520,0.012272
19850521,-0.000422
19850522,-0.005695
19850523,-0.005091
19850524,0.003678
19850528,-0.002284
19850529,-0.000958
19850530,0.000373
19850531,0.009587
19850603,-0.001213
19850604,0.003803
19850605,0.000631
19850606,0.004733
19850607,-0.007223
19850610,-0.000896
19850611,-0.002480
19850612,-0.007565
19850613,-0.012153
19850614,0.009551
19850617,-0.003046
19850618,0.004342
19850619,-0.003790
19850620,0.000536
19850621,0.015423
19850624,-0.002426
19850625,0.003119
19850626,0.001687
19850627,0.006156
19850628,0.003242
19850701,0.003023
19850702,-0.002183
19850703,-0.002917
19850705,0.005589
19850708,-0.003065
19850709,-0.004585
19850710,0.006909
19850711,0.002963
19850712,0.001814
19850715,-0.002949
19850716,0.010378
19850717,0.004776
19850718,-0.006491
19850719,0.003858
19850722,-0.003997
19850723,-0.009262
19850724,-0.005038
19850725,0.002505
19850726,0.001770
19850729,-0.014553
19850730,0.001741
19850731,0.005212
19850801,0.006233
19850802,-0.003279
19850805,-0.004491
19850806,-0.014112
19850807,-0.001330
19850808,0.006767
19850809,-0.003334
19850812,-0.003664
19850813,-0.001759
19850814,0.000587
19850815,-0.000800
19850816,-0.006195
19850819,0.001505
19850820,0.009121
19850821,0.005742
19850822,-0.009516
19850823,-0.001014
19850826,0.000748
19850827,0.004218
19850828,0.003881
19850829,0.000530
19850830,-0.001588
19850903,-0.003817
19850904,-0.002874
19850905,-0.000534
19850906,0.005180
19850909,0.000053
19850910,-0.007171
19850911,-0.010005
19850912,-0.007242
19850913,-0.004246
19850916,-0.000164
19850917,-0.008311
19850918,0.001930
19850919,0.009246
19850920,-0.007307
19850923,0.012359
19850924,-0.009116
19850925,-0.010733
19850926,0.003487
19850930,0.004358
19851001,0.016421
19851002,-0.005457
19851003,0.001630
19851004,-0.006184
19851007,-0.007368
19851008,0.000000
19851009,0.003574
19851010,0.001425
19851011,0.008207
19851014,0.011341
19851015,-0.001556
19851016,0.010211
19851017,-0.001702
19851018,-0.003304
19851021,-0.000428
19851022,0.005777
19851023,0.005584
19851024,-0.003120
19851025,-0.005199
19851028,0.001280
19851029,0.007829
19851030,0.004439
19851031,-0.001315
19851101,0.009009
19851104,-0.001462
19851105,0.005856
19851106,0.002027
19851107,-0.000726
19851108,0.005711
19851111,0.018429
19851112,0.004004
19851113,-0.004947
19851114,0.009944
19851115,-0.004772
19851118,0.003029
19851119,-0.000201
19851120,0.001611
19851121,0.012161
19851122,0.000546
19851125,-0.005806
19851126,0.001597
19851127,0.009319
19851129,-0.001827
19851202,-0.008458
19851203,0.001995
19851204,0.016778
19851205,-0.001714
19851206,-0.004365
19851209,0.006207
19851210,0.000685
19851211,0.009394
19851212,0.002036
19851213,0.015528
19851216,0.009908
19851217,-0.006462
19851218,-0.003988
19851219,0.001001
19851220,0.004381
19851223,-0.011235
19851224,-0.006856
19851226,0.002462
19851227,0.009439
19851230,0.005105
19851231,0.002848
19860102,-0.007999
19860103,0.006155
19860106,-0.001091
19860107,0.014954
19860108,-0.027268
19860109,-0.008944
19860110,-0.000728
19860113,0.003690
19860114,-0.000387
19860115,0.007840
19860116,0.004370
19860117,-0.003538
19860120,-0.004318
19860121,-0.008384
19860122,-0.011176
19860123,0.003735
19860124,0.010673
19860127,0.004650
19860128,0.011669
19860129,0.002288
19860130,-0.004565
19860131,0.011704
19860203,0.010294
19860204,-0.005468
19860205,0.000799
19860206,0.002395
19860207,0.005106
19860210,0.007830
19860211,-0.001480
19860212,0.000232
19860213,0.006621
19860214,0.010856
19860218,0.012241
19860219,-0.012093
19860220,0.011194
19860221,0.010800
19860224,-0.001247
19860225,-0.002452
19860226,0.001117
19860227,0.012185
19860228,0.000661
19860303,-0.006610
19860304,-0.004614
19860305,-0.000178
19860306,0.003521
19860307,0.001954
19860310,0.004478
19860311,0.022553
19860312,0.003669
19860313,0.002795
19860314,0.014409
19860317,-0.007948
19860318,0.004730
19860319,-0.000763
19860320,0.003990
19860321,-0.013528
19860324,0.008528
19860325,-0.002592
19860326,0.010992
19860327,0.007038
19860331,-0.000293
19860401,-0.015739
19860402,0.002424
19860403,-0.013746
19860404,-0.016260
19860407,-0.000262
19860408,0.021388
19860409,0.000985
19860410,0.011508
19860411,-0.001988
19860414,0.005552
19860415,0.001896
19860416,0.018887
19860417,0.003344
19860418,-0.002675
19860421,0.009737
19860422,-0.009479
19860423,-0.002764
19860424,0.001117
19860425,0.001116
19860428,0.003261
19860429,-0.010573
19860430,-0.020748
19860501,-0.001529
19860502,-0.001573
19860505,0.012522
19860506,-0.002061
19860507,-0.004890
19860508,0.004448
19860509,0.003036
19860512,-0.001135
19860513,-0.004925
19860514,0.004780
19860515,-0.013093
19860516,-0.007124
19860519,0.001890
19860520,0.012479
19860521,-0.002795
19860522,0.019834
